UniProt_Accession,Gene_Name,Confidence_Level,SMILES,InChI_Key,Molecular_Formula,Molecular_Weight,Classification
Q9NPI1,BRD7,3,CCN1C2=C(C=CC(=C2)OC)SC1=CC(=O)C,BGVLELSCIHASRV-UHFFFAOYSA-N,C13H15NO2S,249.33,inhibitor
Q9NPI1,BRD7,3,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,WINHZLLDWRZWRT-ATVHPVEESA-N,C22H27FN4O2,398.48,inhibitor
Q9NPI1,BRD7,3,CN1C=C(C=N1)C2=C3C=NNC(=O)C4=C3C(=CC(=C4)NC(=O)C(C5CCCCC5)N)N2,NDEXUOWTGYUVGA-UHFFFAOYSA-N,C22H25N7O2,419.49,inhibitor
Q9NPI1,BRD7,3,CN1C=C(C2=C(C1=O)C=NC=C2)C3=CC(=C(C(=C3)OC)CN(C)C)OC,RBUYFHLQNPJMQM-UHFFFAOYSA-N,C20H23N3O3,353.42,inhibitor
Q9NPI1,BRD7,3,CN1C=C(C2=C(C1=O)C=NC=C2)C3=C(C=C(C(=C3)OC)CN(C)C)OC,BJFSUDWKXGMUKA-UHFFFAOYSA-N,C20H23N3O3,353.42,inhibitor
Q9NPI1,BRD7,3,CCN1C=C(C2=C(C1=O)C=C(S2)C(=NC3CCS(=O)(=O)CC3)N)C4=CC(=CC=C4)C(F)(F)F,WRUWGLUCNBMGPS-UHFFFAOYSA-N,C22H22F3N3O3S2,497.56,inhibitor
Q9NPI1,BRD7,3,CC1=C(C=C(C=C1)C(=O)NC2CC2)C3=C4N=CC=CN4C(=C3)C(=O)C,RPBMXJHQYJLPDN-UHFFFAOYSA-N,C20H19N3O2,333.39,inhibitor
Q9NPI1,BRD7,3,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C,UYBRROMMFMPJAN-UHFFFAOYSA-N,C17H20N6O4S,404.45,inhibitor
Q9NPI1,BRD7,3,CC1=CC(=O)N(C2=C1C=CC(=C2)N3C(C(CCC3=O)NS(=O)(=O)CC(C)C)C4=CC=C(C=C4)Cl)C,LVDRREOUMKACNJ-UHFFFAOYSA-N,C26H30ClN3O4S,516.06,inhibitor
Q9NPI1,BRD7,3,CC(C1=CC(C2=CC=CC3=NC=CN23)=C4N1C=CC(N5CCOCC5)=C4)=O,LBUBPCSKFDKKFO-UHFFFAOYSA-N,C21H20N4O2,360.42,inhibitor
P30304,CDC25A,1,O=C(C1=CC=C(Cl)C=C1)CSC2=NN=C(N2C3=CC=CC=C3)CC4=CC=C(OC)C=C4,TXOLWFBLTOXWOM-UHFFFAOYSA-N,C24H20ClN3O2S,449.96,inhibitor
P30304,CDC25A,1,O=C(C1=CC=C(Cl)C=C1)CSC2=NN=C(N2C3=CC=C(C)C=C3)CC4=CC=C(OC)C=C4,ZMLMIYLWIHXHKO-UHFFFAOYSA-N,C25H22ClN3O2S,463.99,inhibitor
P30304,CDC25A,1,O=C(C1=CC=C(Cl)C=C1)CSC2=NN=C(N2CC3=CC=CC=C3)CC4=CC=C(OC)C=C4,OKGZLDYWGQJCLM-UHFFFAOYSA-N,C25H22ClN3O2S,463.99,inhibitor
P30304,CDC25A,1,O=C(NC1=CC=C(C)C=C1)CSC2=CN=C(N2C3=CC=CC=C3)CC4=CC=C(OC)C=C4,OIBKJQOMQAWFFX-UHFFFAOYSA-N,C26H25N3O2S,443.57,inhibitor
P30304,CDC25A,1,O=C(NC1=CC=C(C)C=C1)CSC2=CN=C(N2CC3=CC=CC=C3)CC4=CC=C(OC)C=C4,IHZRNFXMRQEYOF-UHFFFAOYSA-N,C27H27N3O2S,457.60,inhibitor
P30304,CDC25A,1,O=C1C=CC(C2=C1C=CC(C3=CC(Cl)=CC=C3N4)C2C4=O)=O,ACZHJWRFHYENCZ-UHFFFAOYSA-N,C17H10ClNO3,311.72,inhibitor
P30304,CDC25A,1,O=C(NC1CCCCC1)C(N(CC2=CC(OCO3)=C3C=C2)C(C4=CC=C(OC(C(O)=O)C(O)=O)C=C4)=O)C5=CC=C(OCP(O)(O)=O)C=C5,HBPDSFLHPCTJIM-UHFFFAOYSA-N,C33H35N2O13P,698.62,inhibitor
P30304,CDC25A,1,O=C(NC1CCCCC1)C(N(CC2=CC(OCO3)=C3C=C2)C(C4=CC=C(OC(C(O)=O)C(O)=O)C=C4)=O)C5=CC=C(OC(C(O)=O)C(O)=O)C=C5,SPBBORVXOFHIHB-UHFFFAOYSA-N,C35H34N2O14,706.66,inhibitor
P30304,CDC25A,1,OC1=CC=C(C2=CC=CC(/C=C3SC(N4CCCCC4)=NC\3=O)=C2)C=C1C(C5)(C6)C[C@H]7C[C@@H]6C[C@@H]5C7,QWRGJPYNJOYKAU-SKVVOJGUSA-N,C31H34N2O2S,498.69,inhibitor
P30304,CDC25A,1,O=C1C(O)=C(C2=CNC3=CC=C(C)C=C32)C(C(O)=C1)=O,ABMXLHFZURTABJ-UHFFFAOYSA-N,C15H11NO4,269.26,inhibitor
P30304,CDC25A,1,O=C1C(SCCO)=C(SCCO)C(N1C2=CC=C(C3=CC=CC=C3)C=C2)=O,RFZCIUONZTUZER-UHFFFAOYSA-N,C20H19NO4S2,401.51,inhibitor
P30304,CDC25A,1,O=C1C(O)=C(C2=CNC3=CC=C(OCC4=CC=CC=C4)C=C32)C(C(O)=C1)=O,FRLQVRFNRRCVIG-UHFFFAOYSA-N,C21H15NO5,361.35,inhibitor
P30304,CDC25A,1,O=C1C(O)=C(C2=CNC3=CC=C(Br)C=C32)C(C(O)=C1)=O,YZOWNKYBEWKCLE-UHFFFAOYSA-N,C14H8BrNO4,334.13,inhibitor
P30304,CDC25A,1,O=C1N(CCCCCCCCCCCC)C2=CC=CC=C2C1CC(O)=O,FXBQGXWQPVHXTL-UHFFFAOYSA-N,C22H33NO3,359.51,inhibitor
P30304,CDC25A,1,O=C(CC1=CN(CCCCCCCCCCCC)C2=CC=CC=C21)O,BFCFBVXYQIIZAF-UHFFFAOYSA-N,C22H33NO2,343.51,inhibitor
P30304,CDC25A,1,O=C1C(O)=C(C2=CNC3=C(C/C=C(C)\C)C=CC=C32)C(C(O)=C1)=O,OXYDJZCNBPHYPL-UHFFFAOYSA-N,C19H17NO4,323.35,inhibitor
P30304,CDC25A,1,O=C1C(O)=C(C2=CNC3=C(CC4=C(C)C=CC=C4)C=CC=C32)C(C(O)=C1)=O,JOMQWYVUSLQPOS-UHFFFAOYSA-N,C22H17NO4,359.38,inhibitor
P30304,CDC25A,1,O=C(C(N1)C2C(C=CC2)C3=C1C=CC(C(O)=O)=C3)O,RKSORIGFRQYENG-UHFFFAOYSA-N,C14H13NO4,259.26,inhibitor
P30304,CDC25A,1,O=C1N(C2=CC=CC=C2)NC(C)/C1=N\OC,IXWPKHSOCQVTFA-JLHYYAGUSA-N,C11H13N3O2,219.24,inhibitor
P30304,CDC25A,1,O=C(C1=CC=CC=C1C(C2=CNC3=CC=CC=C32)=C4CC5=CC=C(OCC(OC(C)(C)C)=O)C=C5)C4=O,ZGPUJIKBVXJDGJ-UHFFFAOYSA-N,C31H27NO5,493.56,inhibitor
P30304,CDC25A,1,BrC1=C2C(C(C=CC=C3)=C3O2)=C(C4=CC(Br)=C(O[C@H](C(O)=O)CC5=CC=CC=C5)C(Br)=C4)C6=C1C=CC=C6,WWEKHDAAECLWTK-VWLOTQADSA-N,C31H19Br3O4,695.20,inhibitor
P30304,CDC25A,1,ClC1=CC=C(N2C(C)=C(CCOC3=CC=C(/C=C(C(O)=O)/SCC4=CC=C(C(C)(C)C)C=C4)C=C3)C=N2)C=C1,PSEBXTFMQVAFPI-NDZAJKAJSA-N,C32H33ClN2O3S,561.15,inhibitor
P30304,CDC25A,1,ClC1=CC(C2=NN=C(SCC(C3=CC(O)=C(O)C=C3)=O)N2CC=C)=CC=C1,DZTFRDMOGLIUFL-UHFFFAOYSA-N,C19H16ClN3O3S,401.88,inhibitor
P30304,CDC25A,1,O=C(CSC1=NN=C(C2=CC=C(C)C=C2)N1C3=CC=C(Cl)C=C3)C4=CC(O)=C(O)C=C4,VNJJARMKEXNMBM-UHFFFAOYSA-N,C23H18ClN3O3S,451.94,inhibitor
P30304,CDC25A,1,BrC1=CC=C2C(C(C(C(OCC)=O)=C(CNC(C)C)N3C)=C3C(C2=O)=O)=C1,CTUUBTBKLMYVCY-UHFFFAOYSA-N,C20H21BrN2O4,433.30,inhibitor
P30304,CDC25A,1,C=C(S1)C(N=C1NC2=CC=CC=C2)=O,GGTIQXNCTOMWSD-UHFFFAOYSA-N,C10H8N2OS,204.25,inhibitor
P30304,CDC25A,1,O=C(CSC1=NN=CN1)C2=CC=CC=C2,UJVOAHVGRTVDDA-UHFFFAOYSA-N,C10H9N3OS,219.27,inhibitor
P30304,CDC25A,1,O=C(/C(S1)=C\C(C)=C\C2=CC=CC=C2)N=C1NC3=CC(Cl)=CC(Cl)=C3,GOVDXADQNGZDMM-RZKYTRJLSA-N,C19H14Cl2N2OS,389.31,inhibitor
P30304,CDC25A,1,O=C(CSC1=NN=C(C2=CC=C(C)C=C2)N1C3=CC=CO3)C4=CC=C(O)C(O)=C4,GMVRHXSZVVFAHD-UHFFFAOYSA-N,C21H17N3O4S,407.45,inhibitor
P30304,CDC25A,1,O=C1OC2=CC(OC)=CC=C2C(/C=C/C(C3=CC(OC)=C([H])C=C3)=O)=C1,KOSXOYQLKMXQPB-RMKNXTFCSA-N,C20H16O5,336.34,inhibitor
P30304,CDC25A,1,O=C1OC2=CC(O)=CC=C2C(/C=C/C(C3=CC([H])=C([H])C=C3)=O)=C1,HHQJGNPKZGDBEQ-RMKNXTFCSA-N,C18H12O4,292.29,inhibitor
P30304,CDC25A,1,O=C1OC2=CC(OC)=CC=C2C(/C=C/C(C3=CC(OC)=C(OC)C=C3)=O)=C1,ZLPXRXAVDIBRCH-XBXARRHUSA-N,C21H18O6,366.37,inhibitor
P30304,CDC25A,1,O=C1C(C)=C(SCCO)C(C2=CC=CC=C21)=O,MZIOEPIEDDJOPP-UHFFFAOYSA-N,C13H12O3S,248.30,inhibitor
P30304,CDC25A,1,O=C1C(C)=C(SCCO)C(C2=C(F)C(F)=C(F)C(F)=C21)=O,WLTTWOPJBJOCSJ-UHFFFAOYSA-N,C13H8F4O3S,320.26,inhibitor
P30304,CDC25A,1,O=C(N1)C=C(C)C2=C1C(O)=C(N(C)C(C=C3C)=O)C3=C2,CBBDIGYIDIUFRS-UHFFFAOYSA-N,C15H14N2O3,270.29,inhibitor
P30304,CDC25A,1,O=C(CCC1=NC(CCC)=CC(O)=N1)NCCSCC2=CC=CO2,IQHOUPDCSJCHLM-UHFFFAOYSA-N,C17H23N3O3S,349.46,inhibitor
P30304,CDC25A,1,O=C(CSC1=NC(COC)=CC(O)=N1)C2=CC3=CC=CC=C3O2,PTFUZIPDJQIGOW-UHFFFAOYSA-N,C16H14N2O4S,330.37,inhibitor
P30304,CDC25A,1,O=C(CSC1=NC(CCC)=CC(O)=N1)N(CC2)CCN2C3=CC=CC=C3,IJGAMVCFVGMKOV-UHFFFAOYSA-N,C19H24N4O2S,372.49,inhibitor
P30304,CDC25A,1,O=C1C(C2=CC=C(F)C=C2)=CC(C3=C1N(C(C)C)C4=C3C(C5=C4C=CC=C5)=O)=O,YIRCMVHKWGGAHX-UHFFFAOYSA-N,C24H16FNO3,385.39,inhibitor
P30304,CDC25A,1,O=C1C(C2=CC=CC=C2)=CC(C3=C1N(C(C)C)C4=C3C(C5=C4C=CC=C5)=O)=O,UZVZYKXLYYJYSO-UHFFFAOYSA-N,C24H17NO3,367.40,inhibitor
P30304,CDC25A,1,O=C1C=C(C)C(C2=C1N(C(C)C)C3=C2C(C4=C3C=CC=C4)=O)=O,JTIHTJNJCDOGLQ-UHFFFAOYSA-N,C19H15NO3,305.33,inhibitor
P30304,CDC25A,1,O=C1C(C2=CC=CO2)=CC(C3=C1N(C(C)C)C4=C3C(C5=C4C=CC=C5)=O)=O,KKYKGKXRPBJJKE-UHFFFAOYSA-N,C22H15NO4,357.37,inhibitor
P30304,CDC25A,1,O=C(C(OC)=C1)C([S@](C2=CC=C(C)C=C2)=O)=CC1=O,QKSHRPJNIFGBBQ-IBGZPJMESA-N,C14H12O4S,276.31,inhibitor
P30304,CDC25A,1,O=C(C(OCC)=C1)C([S@](C2=CC=C(C)C=C2)=O)=C(C)C1=O,AKWDSVDKMIBHLB-NRFANRHFSA-N,C16H16O4S,304.37,inhibitor
P30304,CDC25A,1,O=C(C(OC)=C1)[C@]2([S@](C3=CC=C(C)C=C3)=O)[C@](CC=C4C2C[C@H](C5=COC=C5)OC4)(C)C1=O,FNDDAVRIHBRBBU-JBUXNTKWSA-N,C26H26O6S,466.56,inhibitor
P30304,CDC25A,1,O=C(C(OC)=C1)[C@]2([S@](C3=CC=C(C)C=C3)=O)[C@](CC=C4C2C[C@H](C5=CC=CC=C5)OC4)(C)C1=O,JSNDRZCCVAZQNT-TXYQUONASA-N,C28H28O5S,476.59,inhibitor
P30304,CDC25A,1,C1=CC(=C(C2=C1C(=C3C=CC(=O)C(=C3O2)O)CCC(=O)O)O)O,OCMFSQMNSIPSJS-UHFFFAOYSA-N,C16H12O7,316.26,inhibitor
P30304,CDC25A,1,CCCCCCCCCCCCCCC/C(NCC1=C(O)C=CC=C1)=C2C(C(CO)OC\2=O)=O,YXOQBEDZYUTFGI-RWEWTDSWSA-N,C28H43NO5,473.65,inhibitor
P30304,CDC25A,1,CCCCCCCCCCCCCCC/C(NCC1=CC=CC=C1)=C2C(C(CO)OC\2=O)=O,ZNJYVLMQVAYAFG-LCUIJRPUSA-N,C28H43NO4,457.66,inhibitor
P30304,CDC25A,1,CC(C=C(C)C=C1C)=C1N2C3=CC=NC=C3N=C2SCC(C4=CC=C(O)C(O)=C4)=O,IRZOIEKLDMCHRO-UHFFFAOYSA-N,C23H21N3O3S,419.51,inhibitor
P30304,CDC25A,1,OC(/C=C/C1=CC=CC([Sb](O)(O)=O)=C1)=O,ZTQRMGDLUGQTTF-MNPOOLNOSA-L,C9H9O5Sb,318.93,inhibitor
P30304,CDC25A,1,O=C(C(ON=C1C2COC3(CCCCC3)O2)C1C4=O)N4C5=CC=CC(Br)=C5,YNPCEYWMLVQZJG-UHFFFAOYSA-N,C19H19BrN2O5,435.27,inhibitor
P30304,CDC25A,1,O=C(C(ON=C1C2COC3(CCCCC3)O2)C1C4=O)N4C5=CC=CC(C(O)=O)=C5,WVBPSEJJNNIWOP-UHFFFAOYSA-N,C20H20N2O7,400.39,inhibitor
P30304,CDC25A,1,O=C(C(ON=C1C2COC3(CCCCC3)O2)C1C4=O)N4C5=CC=CC=C5[N+]([O-])=O,IMQCJZXSZYTKNP-UHFFFAOYSA-N,C19H19N3O7,401.38,inhibitor
P30304,CDC25A,1,O=C(C(ON=C1C2COC3(CCCCC3)O2)C1C4=O)N4C5=CC=CC([N+]([O-])=O)=C5,NNAPQADQPMHKIK-UHFFFAOYSA-N,C19H19N3O7,401.38,inhibitor
P0C1S8,WEE2,3,CCN(CC)CCOC1=CC=C(C=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl,IFPPYSWJNWHOLQ-UHFFFAOYSA-N,C26H27Cl2N5O2,512.44,inhibitor
P0C1S8,WEE2,3,CC1(CC2=CN=C(N=C2C3=C1C(=NN3C)C(=O)NC)NC4=CC=C(C=C4)N5CCN(CC5)C)C,RXZMYLDMFYNEIM-UHFFFAOYSA-N,C25H32N8O,460.59,inhibitor
P0C1S8,WEE2,3,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,UBPYILGKFZZVDX-UHFFFAOYSA-N,C26H29Cl2N5O3,530.46,inhibitor
P0C1S8,WEE2,3,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,C22H26ClN7O2S,488.02,inhibitor
P0C1S8,WEE2,3,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)C=CCN(C)C,WVUNYSQLFKLYNI-UHFFFAOYSA-N,C24H23ClFN5O2,467.93,inhibitor
P0C1S8,WEE2,3,CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O,BKWJAKQVGHWELA-UHFFFAOYSA-N,C27H32N8O2,500.61,inhibitor
P0C1S8,WEE2,3,CC1=C(CC(OC)=O)C(N2C(N1)=NC(NCC3=CC=CC=C3)=N2)=O,GPTZDGQPIOERSV-UHFFFAOYSA-N,C16H17N5O3,327.34,inhibitor
P0C1S8,WEE2,3,CN1C2=C(C=NC(NC3=CC=C(OCCN(CC)CC)C=C3)=N2)C=C(C4=C(Cl)C=CC=C4Cl)C1=O,IFPPYSWJNWHOLQ-UHFFFAOYSA-N,C26H27Cl2N5O2,512.44,inhibitor
P0C1S8,WEE2,3,O=C(CNC(C)=O)N1[C@@H]2CC[C@H]1C3=CC(NC4=NC(NC5CCC5)=C(C(F)(F)F)C=N4)=CC=C32,RYYNGWLOYLRZLK-MOPGFXCFSA-N,C23H25F3N6O2,474.49,inhibitor
P0C1S8,WEE2,3,CN(C1=NC(NC2=CC(C(O)=O)=CC=C2)=NC=C1C=C3C4=C(Cl)C=CC=C4Cl)C3=O,RBURTLAMOSHNGX-UHFFFAOYSA-N,C21H14Cl2N4O3,441.27,inhibitor
P0C1S8,WEE2,3,CN(C1=NC(NC2=CC=C(N3CCOCC3)C=C2)=NC=C1C=C4C5=C(Cl)C=CC=C5Cl)C4=O,XZEJMVDCQZRHLN-UHFFFAOYSA-N,C24H21Cl2N5O2,482.37,inhibitor
Q9NS87,KIF15,3,CN(C1=NC(NC2=CC(CO)=CC=C2)=NC=C1C=C3C4=C(Cl)C=CC=C4Cl)C3=O,ZIQFYVPVJZEOFS-UHFFFAOYSA-N,C21H16Cl2N4O2,427.29,inhibitor
Q9NS87,KIF15,3,CC1=C(SC(=N1)NC(=O)C(C(C)C)N2C(=O)C3=CC=CC=C3NC2=O)C4=NN=C(O4)C,OHVKUJISCPKSER-UHFFFAOYSA-N,C20H20N6O4S,440.49,inhibitor
Q9NS87,KIF15,3,CCOC(=O)C1=C(N=C(S1)NC(=O)C(C(C)C)N2C(=O)C3=CC=CC=C3NC2=O)C,CTQQKICGMSZCJL-UHFFFAOYSA-N,C20H22N4O5S,430.49,inhibitor
Q9NS87,KIF15,3,COC1=C(N(S(=O)(C2=CC=CC=C2)=O)CC(NC3=C(C)C=C(Cl)C=C3)=O)C=CC(OC)=C1,QXGWOVYALKREDH-UHFFFAOYSA-N,C23H23ClN2O5S,474.97,inhibitor
Q9NS87,KIF15,3,CC[C@@H](C)[C@@H](C1=CC=CC=C1)C(NCC(NC2=C(C)C=C(C)C=C2C)=O)=O,FYASTKQXIBAJRB-IERDGZPVSA-N,C23H30N2O2,366.51,inhibitor
Q9NS87,KIF15,3,CC1=CC=CC(OCCC(NCC2=C(NS(=O)(C3=CC=CC=C3)=O)C=CC=C2)=O)=C1C,FSTLJCNTAHYTOE-UHFFFAOYSA-N,C24H26N2O4S,438.55,inhibitor
P49959,MRE11,1,O=C([C@@H]1C)N(C2=CC=C(OC)C=C2)CCN1CC3=CC(OC)=C(C)C=[NH+]3,IYZZCXIXVAGGMB-HNNXBMFYSA-O,C20H26N3O3+,356.45,inhibitor
Q9NRC8,SIRT7,3,C1=CC(=CC=C1C=C2C(=O)N=C(S2)N)O,YBHQCJILTOVLHD-UHFFFAOYSA-N,C10H8N2O2S,220.25,inhibitor
Q08050,FOXM1,1,C1=CC(=CC(=C1)NC2=NC=C(O2)C3=CC=C(C=C3)Cl)N,RMRVZWMKRCLSFX-UHFFFAOYSA-N,C15H12ClN3O,285.73,inhibitor
Q08050,FOXM1,1,C1=CSC(=C1)C2=CC(=NC(=C2C#N)SCC(=O)C3=CC=CS3)C4=CC=CS4,DCCYTKKDAZEVLY-UHFFFAOYSA-N,C20H12N2OS4,424.60,inhibitor
Q08050,FOXM1,1,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,GXPHKUHSUJUWKP-UHFFFAOYSA-N,C24H27NO5S,441.55,inhibitor
Q08050,FOXM1,1,C1=CSC(=C1)C2=NC3=C(C(=C2)C(F)(F)F)C(=C(S3)C(=O)NC4=CC=C(C=C4)F)N,ZATJMMZPGVDUOM-UHFFFAOYSA-N,C19H11F4N3OS2,437.44,inhibitor
Q9NQU5,PAK6,3,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C,FVYXIJYOAGAUQK-UHFFFAOYSA-N,C18H18O2,266.34,inhibitor
Q9NQU5,PAK6,3,CC1=NC2=C(C(=N1)NC3=NNC4=C3CN(C4(C)C)C(=O)NC(CN(C)C)C5=CC=CC=C5)SC=C2,AYCPARAPKDAOEN-UHFFFAOYSA-N,C25H30N8OS,490.64,inhibitor
Q8NI77,KIF18A,3,COCCNC1=NC2=C(N1C3=NC(=NC=C3)N)C=C(C=C2)C#CC4(CCCCC4)O,RZXMIHOUHYSGJO-UHFFFAOYSA-N,C22H26N6O2,406.49,inhibitor
Q8NI77,KIF18A,3,O=S(C1=CC=CC=C1)(C2=C([N+]([O-])=O)C=C(F)C=C2)=O,KXQYERJUTXJUBS-UHFFFAOYSA-N,C12H8FNO4S,281.26,inhibitor
Q8NI77,KIF18A,3,O=S(C1=CC=CC=C1)(C2=C([N+]([O-])=O)C=C(Cl)C=C2)=O,VZDUQPHKUBZMLW-UHFFFAOYSA-N,C12H8ClNO4S,297.72,inhibitor
O15297,PPM1D,1,O=S(C1=CC=CC=C1)(C2=C([N+]([O-])=O)C=CC=C2)=O,GKNMUCPEXSCGKC-UHFFFAOYSA-N,C12H9NO4S,263.27,inhibitor
O15297,PPM1D,1,C1CC(=CC2=CC=CS2)C(=O)C1=CC3=CC=CS3,KPFZCKDPBMGECB-UHFFFAOYSA-N,C15H12OS2,272.39,inhibitor
O15297,PPM1D,1,CC1=C(C=C(C=N1)Cl)NCC2=CC=C(S2)C(=O)NC(CC3CCCC3)C(=O)NC4CC4,IVDUVEGCMXCMSO-UHFFFAOYSA-N,C23H29ClN4O2S,461.03,inhibitor
O15297,PPM1D,1,O=C(N[C@H](C(NCC(NC1=CC=CC(Cl)=C1)=O)=O)CC2CCCCC2)C3=CC=CS3,OFVYVWDZFPRZDT-SFHVURJKSA-N,C22H26ClN3O3S,447.99,inhibitor
O15297,PPM1D,1,O=C(N[C@H](C(NCCCCC(C(OC)=O)NC(C1=CC=CC(O)=C1)=O)=O)CC2CCCCC2)C3=CC=CS3,GZRGQUBXDFKLKT-WCSIJFPASA-N,C28H37N3O6S,543.69,inhibitor
O15297,PPM1D,1,CCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)O,QJRVOJKLQNSNDB-UHFFFAOYSA-N,C18H30O3S,326.50,inhibitor
O15297,PPM1D,1,CC(C)(C(=O)O)SC1=CC=C(C=C1)CCN(CCCCC2CCCCC2)C(=O)NC3CCCCC3,PKNYXWMTHFMHKD-UHFFFAOYSA-N,C29H46N2O3S,502.77,inhibitor
O15297,PPM1D,1,CC(C)C1=CC2=C(C=C1)N(C(=C2SC(C)(C)C)CC(C)(C)C(=O)O)CC3=CC=C(C=C3)Cl,QAOAOVKBIIKRNL-UHFFFAOYSA-N,C27H34ClNO2S,472.09,inhibitor
O15297,PPM1D,1,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,GXPHKUHSUJUWKP-UHFFFAOYSA-N,C24H27NO5S,441.55,inhibitor
O15297,PPM1D,1,CCC1=CC=C(C=C1)C=C2C(=O)NC(=S)S2,SVXDHPADAXBMFB-UHFFFAOYSA-N,C12H11NOS2,249.36,inhibitor
O15297,PPM1D,1,[H][C@@]12CCC[C@@H](O[Si](CC)(CC)CC)[C@@]1([H])C[C@H](O[Si](C)(C(C)(C)C)C)C[C@@]2(C)C(O)=O,WYYKYBVYKSTHEV-RSBOXOOMSA-N,C24H48O4Si2,456.82,inhibitor
O15297,PPM1D,1,CC(CC)N1C(/C=C/C(/C=C/C2=NC=CN2C(CC)C)=O)=NC=C1,ZDZDNJTZDIUCSG-FIFLTTCUSA-N,C19H26N4O,326.44,inhibitor
