Uniprot_Accession,Gene_Name,Classification,Confidence_Level,Similarity_Score,SMILES
P33527,ABCC1,inhibitor,2,0.4409,CCN(CC)C(=S)SSC(=S)N(CC)CC
P25025,CXCR2,inhibitor,1,0.4409,ClC1=[N+]([O-])C=C(C(NC2=CC=C(F)C=C2)=O)C=C1
,tubulin,activator,1,0.4405,COC1=CC=C(C=C1)C2C(OCO2)C3=CC(=C(C(=C3)OC)OC)OC
Q00535,CDK5,inhibitor,3,0.4393,O=C(CC1=CC=C(C2=CC=CC=C2)C=C1)NC3=CC(C4CCC4)=NN3
P33527,ABCC1,inhibitor,2,0.4393,OC1=CC=C([C@@H]2OC3=CC(O)=CC([C@@H]4C5=C6C=C(O)C=C5O[C@@H]4C7=CC=C(O)C=C7)=C3[C@H]2C8=CC(O)=CC9=C8C6=C(C%10=CC=C(O)C=C%10)O9)C=C1
P12004,PCNA,inhibitor,1,0.4391,CC1=C(SC=C1)C(=O)NN=CC2=C(C3=CC=CC=C3C=C2)O
P49841,GSK3B,inhibitor,2,0.439,OC1=CC(C2=C(O)C(C(C(O)=CC(C)=C3C(CC(O)=O)C4=CC=CC(Cl)=C4)=C3O2)=O)=CC=C1O
Q14004,CDK13,inhibitor,3,0.4389,C1=CC=C(C=C1)CCNC2=NC=NC3=C2C=C(C=C3)C#N
P31749,AKT1,inhibitor,1,0.4389,O=C(CCC(C(C1=C2C=CC=C1)=O)=CC2=O)C3=CC=CC=C3
Q00535,CDK5,inhibitor,3,0.4387,O=C(CC1=CC2=C(C=CC=C2)C=C1)NC3=CC(C4CCC4)=NN3
Q00535,CDK5,inhibitor,3,0.4387,C1CC(C1)C2=CC(=NN2)NC(=O)CC3=CC4=CC=CC=C4C=C3
P26358,DNMT1,inhibitor,2,0.4385,O=[N+](C(C=C1)=CC=C1C(O2)=NCC2CN3CCCC3)[O-]
P26358,DNMT1,inhibitor,2,0.4385,O=[N+](C1=CC=C(C2=NCC(CN3CCCC3)O2)C=C1)[O-]
Q15131,CDK10,inhibitor,3,0.4384,O=C1C2=C(O)C=C(O)C(C3=CCN(C)CC3)=C2OC(C4=C(Cl)C=C(SC5=NC(C=CC=C6)=C6N5C)C=C4)=C1
Q6RVA0,MDR1,inhibitor,2,0.438,OC(C=C1)=C(O)C=C1CCN2C=C(C3=CC=C(O)C(O)=C3)C4=C2C(OC5=C4C=C(O)C(O)=C5)=O
Q9Y6F1,PARP3,inhibitor,1,0.4377,O=C1NC(CCC(NCC2=CC=CC=C2)=O)=NC3=CC=CC=C31
O43683,BUB1,inhibitor,3,0.4376,OC1=C(C=CS2)C2=CC(/C=C\C3=CC(OC)=C(OC)C(OC)=C3)=C1
,tubulin,activator,1,0.4376,CN(C)C1=C(OC2=C1C=CC(=C2)OC)C(=O)C3=CC(=C(C(=C3)OC)OC)OC
,tubulin,activator,1,0.437,CC(C)(C)C1=CC=C(C=C1)NC(=O)NCCCl
Q00535,CDK5,inhibitor,3,0.4369,CC1=CC=CC(NC(N=C2)=NC3=C2CCCC3)=C1
,tubulin,activator,1,0.4367,COC1=CC(=CC(=C1OC)OC)C2=NNN=C2C3=CC=C(C=C3)N
,tubulin,inhibitor,1,0.4367,COC1=CC(C2=C(C3=CC=C(N)C=C3)NN=N2)=CC(OC)=C1OC
P49841,GSK3B,inhibitor,2,0.4364,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
Q96EB6,SIRT1,activator,3,0.4364,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
Q6RVA0,MDR1,inhibitor,2,0.436,O=C(N1CCOCCOCCN(C(CCC2(C[C@H](C3)C4)C[C@H]4C[C@H]3C2)=O)CCOCCOCCC1)CCC56C[C@@H]7C[C@@H](C[C@H](C6)C7)C5
P06730,EIF4E,inhibitor,1,0.4359,C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6
P16152,CBR1,inhibitor,2,0.4353,CC(=CCCC(=CCCC(C)(C=C)O)C)C
Q13257,MAD2L1,inhibitor,1,0.435,COC1=CC=C(C(C2=C(OC(C=C3C4=CC=CC=C4)=O)C3=C(OC)C=C2OC)CC(N5CCCC5)=O)C=C1
P49840,GSK3A,inhibitor,2,0.435,COC1=CC=C(C=C1)CNC(=O)NC2=NC=C(S2)[N+](=O)[O-]
P49841,GSK3B,inhibitor,2,0.435,COC1=CC=C(C=C1)CNC(=O)NC2=NC=C(S2)[N+](=O)[O-]
