Uniprot_Accession,Gene_Name,Classification,Confidence_Level,Similarity_Score,SMILES
P61073,CXCR4,inhibitor,2,0.5024,NCCCC[C@H](NC([C@H](NC([C@@H](NC([C@H](NC([C@H](NC([C@@H](N)CC1=CNC=N1)=O)CC2=CNC3=C2C=CC=C3)=O)CCCCN)=O)CC4=C(NC5=C4C(C)=CC=C5)C)=O)CC6=CC=CC=C6)=O)C(N)=O
P49137,MAPKAPK2,inhibitor,2,0.502,O=C(NC1=CN=CC=C1)C2=CC(C(C(C)CNC3=O)=C3N4)=C4C=C2
P49137,MAPKAPK2,inhibitor,2,0.5004,O=C(NC1=NC(C(NC2CCN(C)CC2)=O)=CS1)C(C=C3)=CC4=C3NC5=C4C(C)CNC5=O
P33527,ABCC1,inhibitor,2,0.4979,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
P56524,HDAC4,inhibitor,2,0.4961,CCC(C)C1C(=O)N2CCCCC2C(=O)NC(C(=O)NC(C(=O)N1)CC3=CN(C4=CC=CC=C43)OC)CCCCCC(=O)CC
P61073,CXCR4,inhibitor,2,0.4947,N1(CC2=NC(CN3CCCCC3)=CC=C2)CCCCC1
P49841,GSK3B,inhibitor,2,0.4931,C1=CC(=CC=C1C=CC(=O)NCCC2=CNC3=C2C=C(C=C3)O)O
P30304,CDC25A,inhibitor,1,0.4896,OC(/C=C/C1=CC=CC([Sb](O)(O)=O)=C1)=O
P04637,TP53,inhibitor,1,0.4888,O=C(NCC1=CC=CC=C1)[C@@H](N[C@@H](CC(C)C)C(NO)=O)C2=C(C(NO)=O)NC3=C2C=CC(Cl)=C3
Q00987,MDM2,inhibitor,1,0.4888,O=C(NCC1=CC=CC=C1)[C@@H](N[C@@H](CC(C)C)C(NO)=O)C2=C(C(NO)=O)NC3=C2C=CC(Cl)=C3
O15392,BIRC5,inhibitor,1,0.4878,CC(CC(NC(C(NC(C2N(C(C(CC3=CNC4=C3C=CC=C4)NC(C(NC(C(CCCCN)NC(C(NC(C(N)C(O)C)=O)CC5=CC=CC=C5)=O)=O)CC(N)=O)=O)=O)CCC2)=O)CC1=CC=CC=C1)=O)C(O)=O)C
P49841,GSK3B,inhibitor,2,0.4853,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
P61073,CXCR4,inhibitor,2,0.4847,C1CC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2C1)CCCCN)CCCCN)CCCNC(=O)N)CC3=CC=C(C=C3)O)NC(=O)C(CC4=CC5=CC=CC=C5C=C4)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C6=CC=C(C=C6)F)C(=O)NC(CCCNC(=N)N)C(=O)N)CCCNC(=O)N)CCCNC(=N)N)CC7=CC=C(C=C7)O
P61073,CXCR4,inhibitor,2,0.4847,C1CC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2C1)CCCCN)CCCCN)CCCNC(=O)N)CC3=CC=C(C=C3)O)NC(=O)C(CC4=CC5=CC=CC=C5C=C4)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C6=CC=C(C=C6)F)C(=O)NC(CCCNC(=N)N)C(=O)N)CCCNC(=O)N)CCCNC(=N)N)CC7=CC=C(C=C7)O
P61073,CXCR4,inhibitor,2,0.4844,CN(C)CCN(CCN(C)C)CCN(C)C
P30304,CDC25A,inhibitor,1,0.4843,O=C(CSC1=NN=CN1)C2=CC=CC=C2
O00744,WNT10B,inhibitor,1,0.4834,COC1=C(C=CC(=C1)C(=O)OC)O
P61073,CXCR4,inhibitor,2,0.4829,NC(NCCCN1C2=CC=C(NC(CNC(N)=N)=O)C=C2C=C1C(NCCC3=CNC4=C3C=CC=C4)=O)=N
Q6RVA0,MDR1,inhibitor,2,0.4824,CC/C(C1=CC=C(O)C=C1)=C(CC)\C2=CC=C(O)C=C2
,tubulin,inhibitor,1,0.4824,COC1=C(C=C(C=C1)N=NC2=CC(=C(C(=C2)OC)OC)OC)O
O15297,PPM1D,inhibitor,1,0.4818,O=C(N[C@H](C(NCCCCC(C(OC)=O)NC(C1=CC=CC(O)=C1)=O)=O)CC2CCCCC2)C3=CC=CS3
P61073,CXCR4,inhibitor,2,0.4805,NCCCCNC1=NC(NCCCCN)=NC(NCCCCN)=N1
P49137,MAPKAPK2,inhibitor,2,0.4797,O=C(NC1=NC(C(NC2CCN(CC(C)(C)C)CC2)=O)=CS1)C(C=C3)=CC(N45)=C3C=C4C(NCC65CCC6)=O
Q8IXJ6,SIRT2,inhibitor,1,0.4794,O=C(N[C@@H](CCCCNC(NCCCCCCCC)=S)C(NC1=CC=CC=C1)=O)OCC2=CC=CC=C2
O14965,AURKA,inhibitor,1,0.4793,O=C(COC2=CC=C(CC)C=C2)N1CCCCC1
P49841,GSK3B,inhibitor,2,0.4789,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
Q96EB6,SIRT1,activator,3,0.4789,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
P11388,TOP2A,inhibitor,1,0.4784,C1=CC=C2C(=C1)C=NN2.C1=CC=C2C(=C1)C=NN2.[Cl-].[Cl-].[Cl-].[Cl-].[Ru+3]
P37231,PPARG,activator,2,0.4782,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
P33527,ABCC1,inhibitor,2,0.4781,O=C(/C=C/C1=CC=CC=C1)C2=CC=CC=C2O
P16152,CBR1,inhibitor,2,0.4773,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl
P43405,SYK,inhibitor,2,0.4772,O=C(/C=C/C1=CC=CC=C1)C2=CC=CN2
Q6RVA0,MDR1,inhibitor,2,0.4767,O=C(N1CCOCCOCCN(C(CCC2(C[C@H](C3)C4)C[C@H]4C[C@H]3C2)=O)CCOCCOCCC1)CCC56C[C@@H]7C[C@@H](C[C@H](C6)C7)C5
P33527,ABCC1,inhibitor,2,0.4762,OC(C=CC(/C=C/C(OCCC1=CC=CC=C1)=O)=C2)=C2O
P61073,CXCR4,inhibitor,2,0.4753,NCCCCN(CC1=NC=CC=C1C)C(C2=NC=CC(C)=C2)C
P37231,PPARG,activator,2,0.475,CC(C)(OC1=CC=C(Cl)C=C1)C(OCC)=O
,tubulin,activator,1,0.4747,CCC(C)C(C(=O)N(C)C(CCC1=NC(=CS1)C(=O)NC(CC2=CC=CC=C2)CC(C)C(=O)O)C(C)C)NC(=O)C3CCCCN3C
Q13153,PAK1,allosteric regulator,3,0.4741,C1=CC=C2C(=O)C=CC(=O)C2=C1
O75914,PAK3,inhibitor,3,0.4741,O=C1C=CC(C2=CC=CC=C21)=O
O14965,AURKA,inhibitor,1,0.4738,CC1=CC=C(C[NH+]2CCNC([C@H]2CC(OCC)=O)=O)C=C1
O15379,HDAC3,inhibitor,1,0.473,O=C(NCC(NC4=CC=C([H])C=C4N)=O)[C@@H](NC(C3=CC=C(OC)C=C3)=O)CC2=CNC1=CC=CC=C12
P31350,RRM2,inhibitor,1,0.4729,C1=CC(=C(N=C1)C=NNC(=S)N)N
O14974,PPP1R12A,inhibitor,3,0.4728,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N
O15297,PPM1D,inhibitor,1,0.4724,CC1=C(C=C(C=N1)Cl)NCC2=CC=C(S2)C(=O)NC(CC3CCCC3)C(=O)NC4CC4
,tubulin,activator,1,0.472,COC1=C(C=C(C=C1)CCC2=CC(=C(C(=C2)OC)OC)OC)O
P11388,TOP2A,inhibitor,1,0.472,ClC1=CC=C2C(N=C(C=CC(OC)=C3)C3=C2CCC4=CC=C(OC)C=C4)=C1
P56524,HDAC4,inhibitor,2,0.4719,O=C(NOCCCCCC(NO)=O)C1=CC(C)=CC(C)=C1
P49841,GSK3B,inhibitor,2,0.4707,C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl
O15297,PPM1D,inhibitor,1,0.4697,O=C(N[C@H](C(NCC(NC1=CC=CC(Cl)=C1)=O)=O)CC2CCCCC2)C3=CC=CS3
P61073,CXCR4,inhibitor,2,0.4697,N1(CC2=CC=CC(CN3CCOCC3)=N2)CCOCC1
O15379,HDAC3,inhibitor,1,0.4693,O=C(NCC(NC4=CC=C(F)C=C4N)=O)[C@@H](NC(C3=CC=C(OC)C=C3)=O)CC2=CNC1=CC=CC=C12
,tubulin,activator,1,0.4688,COC1=C(C=C(C=C1)C=CC=CC2=CC(=C(C(=C2)OC)OC)OC)O
Q8IXJ6,SIRT2,inhibitor,1,0.4672,O=C(N[C@H](C(NC1=CC=CC=C1)=O)CCCCNC(CCCCCCCCCCCCC)=S)OCC2=CC=CC=C2
P11802,CDK4,inhibitor,1,0.4671,O=C(C1=CC=C(C2=CC=C(C)C=C2)C=C1)N3CCC4=C(NC5=C4C=CC=C5)C3
O15151,MDM4,inhibitor,1,0.4666,CN(CCCN(C)C)[C@@H]1CN(CC1)C(C(NC2=C3C=CC(Cl)=C2)=C3C4=C(N=CN4CC5=CC=C(Cl)C=C5)C6=CC=CC=C6)=O
P50613,CDK7,inhibitor,3,0.4661,CC1(CCCC(C1)NC2=NC=C(C(=N2)C3=CNC4=CC=CC=C43)Cl)NC(=O)C5=NC=C(C=C5)NC(=O)C=CCN(C)C
Q13153,PAK1,allosteric regulator,3,0.4657,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl
Q14191,WRN,inhibitor,2,0.4653,CCCOCC1=CC(=O)NC1=O
P27707,DCK,inhibitor,2,0.4638,NC1=NC(SC2=CC(C=CC=C3)=C3C=C2)=NC=C1
P14174,MIF,inhibitor,2,0.4638,C1=CC=C(C=C1)C2=CC(=NC=N2)I
P26358,DNMT1,inhibitor,2,0.4635,O=C(N1C(CC2=CNC3=C2C=CC=C3)C(NCCCCCCCCCCCCNC4=CC=C(C(NCCN(CC)CC)=O)C=C4)=O)C5=CC=CC=C5C1=O
Q9Y6F1,PARP3,inhibitor,1,0.4632,O=C1NC(CCC(NCC2=CC=CC=C2)=O)=NC3=CC=CC=C31
P26358,DNMT1,inhibitor,2,0.4632,NNC1=C2C(C=CC=C2)=CN=N1
P52732,KIF11,inhibitor,1,0.4631,O=S(NC(C=C1)=CC=C1C2=CC=C(C(F)(F)F)C=C2)(C)=O
O15297,PPM1D,inhibitor,1,0.463,CCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)O
Q13153,PAK1,inhibitor,3,0.4627,CO/C=C/C=C/C=C/C1C=CC(/C=C/C=C/C=C/OC)O1
P56524,HDAC4,inhibitor,2,0.4615,CC1=CC(C)=CC(C(NOCCCCC(NO)=O)=O)=C1
P52732,KIF11,allosteric regulator,1,0.4607,CCCCN1C(=O)C2CC3=C(C(N2C1=O)C4=CC(=CC=C4)O)NC5=CC=CC=C35
P33527,ABCC1,inhibitor,2,0.4606,C1(C(CC2NCCCC2)C3CCCCC3)CCCCC1
Q00535,CDK5,inhibitor,3,0.4605,IC1=C2N(CC(O)CNC2=O)C3=CC(O)=CC=C31
P33527,ABCC1,inhibitor,2,0.4601,CC(CC1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3
P31749,AKT1,inhibitor,1,0.46,O=C(C1=CC=CC2=C1C3=CC=C2)N(CCCCCCN=C=[Se])C3=O
P43351,RAD52,inhibitor,3,0.4596,ClCCN(CCCl)C1=CC=C(CCCC(NO)=O)C=C1
Q00987,MDM2,inhibitor,1,0.4595,ClC(C=C1)=CC2=C1C(C3=C(N=CN3CC4=CC=C(Cl)C=C4)C5=CC=CC=C5)=C(C(NCCN6CCOCC6)=O)N2
P06493,CDK1,inhibitor,1,0.4592,O=C(N=C(N)S/1)C1=C\C(C=C2)=CC3=C2N=CC=C3
Q13535,ATR,inhibitor,2,0.4585,COC1=C(C=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)O
,tubulin,activator,1,0.4585,COC1=C(C=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)O
P26358,DNMT1,inhibitor,2,0.458,O=C(C=C1)N(CCC2=CNC3=C2C=CC=C3)C1=O
,tubulin,inhibitor,1,0.4576,COC1=CC=C(C=C1)[Se]C2=CC(=C(C(=C2)OC)OC)OC
O96017,CHEK2,inhibitor,1,0.4571,CC(=NN=C(N)N)C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C(=NN=C(N)N)C
P61073,CXCR4,inhibitor,2,0.457,C1CNC2=NC(=NC(=N2)NCCN)NCCNC3=NC(=NC(=N3)N1)NCCN
Q9BYW2,SETD2,inhibitor,1,0.457,O=C(NC1=CC=CC=C1)NC(C=C2)=CC=C2NCC3=CC=CC(O)=C3
Q8IXJ6,SIRT2,inhibitor,1,0.4569,O=C(N[C@@H](CCCCNC(CCC)=S)C(NCC[N+](C)(C)C)=O)OCC1=CC=CC=C1
Q96EB6,SIRT1,inhibitor,3,0.4569,O=C(N[C@@H](CCCCNC(CCC)=S)C(NCC[N+](C)(C)C)=O)OCC1=CC=CC=C1
P53350,PLK1,inhibitor,1,0.4557,OC1=C(C(C(O)=CC=C2)=O)C2=CC(O)=C1O
O14974,PPP1R12A,inhibitor,3,0.4556,NC1=CC(CN(C4)CCC4NC2=CC=CC3=C2C=CN=C3)=CC=C1
P61073,CXCR4,inhibitor,2,0.4554,NC(NCCCC(NC(C1=CC=C(CNCC2=CC=CC=C2)C=C1)=O)C(N[C@@H](C)C3=C4C=CC=CC4=CC=C3)=O)=N
,tubulin,inhibitor,1,0.4552,CC(C)C(C=C(C)C(=O)O)N(C)C(=O)C(C(C)(C)C)NC(=O)C(C(C)(C)C1=CN(C2=CC=CC=C21)C)NC
P49841,GSK3B,inhibitor,2,0.455,CC1=CC=C(C=C1)S(=O)(=O)NN=CC2=CNC3=CC=CC=C32
P06493,CDK1,inhibitor,1,0.4543,C12=CC=CC=C1C(C3=CC=C(C4=CNC5=C4C=CC=C5)S3)=CN2
P33527,ABCC1,inhibitor,2,0.4539,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
P56524,HDAC4,inhibitor,2,0.4538,O=C(N[C@H](CCCCCCCCCCCCC1)C2=O)[C@@H]1NC([C@H](CCCCCC(NO)=O)NC([C@@H]3N2CCC3)=O)=O
P56524,HDAC4,inhibitor,2,0.4538,O=C(N[C@H](CCCCCCCCCC1)C2=O)[C@@H]1NC([C@H](CCCCCC(NO)=O)NC([C@@H]3N2CCC3)=O)=O
Q13153,PAK1,allosteric regulator,3,0.4538,C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O
O75914,PAK3,inhibitor,3,0.4538,C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O
P11802,CDK4,inhibitor,1,0.4534,O=C(N(C1)CCC2=C1NC3=C2C=CC=C3)C4=CC=CC=C4C5=CC=CC=C5
Q14004,CDK13,inhibitor,3,0.4532,C1=CC=C(C=C1)CCNC2=NC=NC3=C2C=C(C=C3)C#N
P11802,CDK4,inhibitor,1,0.453,N(C=C1)(CCN2C=CC3=C2C=CC=C3)C4=C1C=CC=C4
P31749,AKT1,inhibitor,1,0.4511,O=C(CCl)C1=CNC2=CC=CC=C12
O14965,AURKA,inhibitor,1,0.4508,OCC(CC2)CCN2C1=C([NH2+]C)C=CC=C1
P10415,BCL2,inhibitor,1,0.4499,O=C(NCCOCCOCCNC1=CC=CC(C(N2C3CCC(NC3=O)=O)=O)=C1C2=O)CCCCC(NCCN4C(C5=C6C(C4=O)=CC=C(C6=CC=C5)SC7=CC=C(C=C7)Br)=O)=O
P33527,ABCC1,inhibitor,2,0.4493,O=C(/C=C/C1=CC(OC)=C(O)C=C1)/C=C/C2=CC(OC)=C(O)C=C2
P52732,KIF11,allosteric regulator,1,0.4489,O=C1N(CC2=CC=CC=C2)C(N([C@H]1C3)[C@H](C4=CC(O)=CC=C4)C5=C3C6=CC=CC=C6N5)=O
P56524,HDAC4,inhibitor,2,0.4486,NC(CCCCCC(NC(C=C1)=CC=C1OC2=CC=CC=C2)=O)=O
P52732,KIF11,allosteric regulator,1,0.4486,O=C(CCN)N(CC1)C(C2=CC=CC=C2)C3=C1C4=CC(C)=CC=C4N3
Q8TF76,HASPIN,inhibitor,1,0.4485,COC1=CC2=C(C=C1)N=C3C=CC(=CC3=C2SCCCN)Cl
P04637,TP53,inhibitor,1,0.4482,O=C([H])N(CC1=CC=C(Cl)C=C1)[C@H](C(NC(C)(C)C)=O)C2=C(C(O)=O)NC3=C2C=CC(Cl)=C3
Q00987,MDM2,inhibitor,1,0.4482,O=C([H])N(CC1=CC=C(Cl)C=C1)[C@H](C(NC(C)(C)C)=O)C2=C(C(O)=O)NC3=C2C=CC(Cl)=C3
P52732,KIF11,allosteric regulator,1,0.4481,O=C(CCN)N(CC1)C(C2=CC=CC(O)=C2)C3=C1C4=CC(Cl)=CC=C4N3
P52732,KIF11,allosteric regulator,1,0.4481,OC1=CC=CC(C(N(C(CCN)=O)CC2)C3=C2C4=CC(C)=CC=C4N3)=C1
O14980,XPO1,inhibitor,2,0.4479,C1C=CC(=O)OC1C=CC2=CC=CC=C2
P49841,GSK3B,inhibitor,2,0.4478,C1=CC2=C(C=C1Cl)NN=C2NC(=O)CCC(=O)O
P04637,TP53,inhibitor,1,0.4472,O=C(NC(C)(C)C)[C@@H](N(C=O)CC1=CC=C(OCC2=CC=C(Cl)C=C2)C=C1)C3=C(C(O)=O)NC4=CC(Cl)=CC=C43
Q00987,MDM2,inhibitor,1,0.4472,O=C(NC(C)(C)C)[C@@H](N(C=O)CC1=CC=C(OCC2=CC=C(Cl)C=C2)C=C1)C3=C(C(O)=O)NC4=CC(Cl)=CC=C43
Q8TF76,HASPIN,inhibitor,1,0.447,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
P52732,KIF11,inhibitor,1,0.447,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
P11388,TOP2A,inhibitor,1,0.4464,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCNCCCNCCN4C(=O)C5=CC=CC6=C5C(=CC=C6)C4=O
,tubulin,inhibitor,1,0.4463,CCC(C)C(C(=O)N(COC(=O)CC(C)C)C(CC(C1=NC(=CS1)C(=O)NC(CC2=CC=CC=C2)CC(C)C(=O)O)OC(=O)C)C(C)C)NC(=O)C3CCCCN3C
P33527,ABCC1,inhibitor,2,0.4462,C1=CC=C2C(=C1)C(=O)C=C(O2)C3=CC(=C(C=C3)O)O
O43474,KLF4,inhibitor,1,0.4459,CN1C2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3
P49841,GSK3B,inhibitor,2,0.4457,CC(=O)C1CCC(CC1)C2C[NH]C3C2CC(CN3)/C=C/C(=O)NCCC4CCCCN4
P06493,CDK1,inhibitor,1,0.4457,C12=CC=CC=C1C(C3=NNC(C4=CNC5=C4C=CC=C5)=C3)=CN2
,tubulin,inhibitor,1,0.4449,COC1=CC=C(C=C1)SC2=CC(=C(C(=C2)OC)OC)OC
P49137,MAPKAPK2,inhibitor,2,0.4442,COC1=CC2=C(NC3=C2C(CC4)CN4C3C(O)=O)C=C1
Q96EB6,SIRT1,activator,3,0.444,O=C1C=C(CN(CC2=CC=C(F)C=C2)C)C(C=CC(O)=C3)=C3O1
P61073,CXCR4,inhibitor,2,0.4438,CC(C)NCCCCC1C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(CCC(=O)NC(C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)O)CC3=CC=CC=C3)C(=O)NC(CCCCNC(C)C)C(=O)N)CC4=CC5=CC=CC=C5C=C4)CCCN=C(N)N
P33527,ABCC1,inhibitor,2,0.4436,CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O
P31749,AKT1,inhibitor,1,0.4436,[H][C@]12C[C@@H](C(NC(C)(C)C)=O)N(C[C@H]([C@@H](NC(C3=C(C)C(O)=CC=C3)=O)CSC4=CC=CC=C4)O)C[C@@]1([H])CCCC2
P11802,CDK4,inhibitor,1,0.4435,O=C(NC1=CC=CC=C/21)C2=N/NC(C3=CC4=CC=CC=C4N3)=O
P49137,MAPKAPK2,inhibitor,2,0.4434,COC1=CC2=C(NC3=C2CCN(C)C3C(O)=O)C=C1
P16152,CBR1,inhibitor,2,0.4433,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C
Q9NYY3,PLK2,inhibitor,1,0.4433,CN(C(C=N1)=C(N(C2CCCC2)C3CC)N=C1N4C(C=CC(C(NCC)=O)=C5)=C5C=C4)C3=O
P31350,RRM2,inhibitor,1,0.4433,C1=C(C=C(C(=C1O)O)O)C(=NO)N
P33527,ABCC1,inhibitor,2,0.4428,COC1=CC(OC)=CC(/C=C/C2=CC(OC)=C(OC)C=C2)=C1
Q14680,MELK,inhibitor,1,0.4427,COC1=CC(OCC#CC3=CC(C=NC=C4)=C4C=C3)=CC=C1CN2CCNCC2
P29375,KDM5A,inhibitor,2,0.4426,NNC1=NC=CC(C(O)=O)=N1
P33527,ABCC1,inhibitor,2,0.4426,C1=CC=C(C=C1)C(=O)C=CC2=CC=CC=C2O
,tubulin,inhibitor,1,0.4423,CC(C(=O)NC1=CC=C(C=C1)SC2=CC3=C(C=C2)N=C(N3)NC(=O)OC)N.Cl
P11802,CDK4,inhibitor,1,0.4418,O=C(NC1=CC=C(C)C=C/21)C2=N/NC(C3=CC4=CC=CC=C4N3)=O
Q8IXJ6,SIRT2,inhibitor,1,0.4416,O=C(CSC1=NN=CN1C(C)C)NC(C=C2)=CC=C2OC3=CC=CC=C3
O00744,WNT10B,inhibitor,1,0.4415,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
P49841,GSK3B,inhibitor,2,0.4412,O=C(C1CC1)NC2=CC(/C=N/C3=CC=CN=C3N)=CC=N2
Q00535,CDK5,inhibitor,3,0.4409,NC1CCC2(C)C(CCC3C2CCC4(C)C3CCC4)C1
P33527,ABCC1,inhibitor,2,0.4409,CCN(CC)C(=S)SSC(=S)N(CC)CC
P49841,GSK3B,inhibitor,2,0.4407,O=C(N[C@H](C(N[C@@H]1COC(N2[C@H]1CC[C@H]2C(N[C@H](C(C)C)C(NC(CC3=CC=CC=C3)C(NCC4=CC=CC=C4)=O)=O)=O)=O)=O)CCCNC(N)=N)OCC5=CC=CC=C5
P61073,CXCR4,inhibitor,2,0.4406,CC1C(=O)NC2CSSCC(C(=O)NC(C(=O)C(=O)C(NC(=O)C(NC(=O)C3CCCN3C(=O)C(NC(=O)C(NC2=O)CO)C)CCN)CCCNC(=N)N)CC4=CC=C(C=C4)O)NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C5CCCN5C(=O)C6CCCN6C(=O)C(NC(=O)C(NN1)CC7=CN=CN7)CC8=CC=C(C=C8)O)CCCCN)CCC(=O)N)CC9=CC=C(C=C9)O
P61073,CXCR4,inhibitor,2,0.4404,O=C(NCC(N[C@H](CCC(N[C@H]1CC2=CC=CC=C2)=O)C(N[C@H](C(N)=O)CCCCNC(C)C)=O)=O)[C@@H](NC([C@@](NC([C@@H](NC([C@H](NC1=O)CC3=CC=C(O)C=C3)=O)CCCCNC(C)C)=O)([H])CCCNC(N)=N)=O)CC4=CC(C=CC=C5)=C5C=C4
Q9BYW2,SETD2,inhibitor,1,0.4399,O=C(NC1=CC(C(O)=O)=CC=C1)COC(C=C2)=CC=C2C34C[C@@H]5C[C@@H](C[C@H](C4)C5)C3
P61073,CXCR4,inhibitor,2,0.4393,COC1=CC2=NC=CC(NC(C)CCCN(CC)CC)=C2C=C1
P52732,KIF11,allosteric regulator,1,0.4393,O=C(C1=CC=C(N)C=C1)N(CC2)C(C3=CC=CC(O)=C3)C4=C2C5=CC=C(Cl)C=C5N4
O14757,CHEK1,inhibitor,1,0.4391,CC(=NN=C(N)N)C1=CC=C(C=C1)NC(=O)C2=CC3=C(N2)C(=CC=C3)[N+](=O)[O-]
P33527,ABCC1,inhibitor,2,0.4391,OS(=O)(O[C@H]1C[C@@H]2[C@]([C@H]([C@H]3CC2)CC[C@]([C@H]3CC4)(C)[C@H]4[C@H](C)CCC(O)=O)(C)CC1)=O
P0DMV9,HSPA1B,inhibitor,3,0.4386,C1CN(C(=O)C1=CC2=CC3=C(C=C2)OCO3)C=O
P0DMV8,HSPA1A,inhibitor,3,0.4386,C1CN(C(=O)C1=CC2=CC3=C(C=C2)OCO3)C=O
P61073,CXCR4,inhibitor,2,0.4382,O=C(C1=CC=CC=C1OC)NCC(C=C2)=CC=C2CNS(=O)(C3=CC=C(C)C=C3)=O
P52732,KIF11,allosteric regulator,1,0.4381,O=C(CCC)N(CC1)C(C2=CNC3=C2C=CC=C3)C4=C1C5=CC(C)=CC=C5N4
